i,Class,unique_element_sort,score_list
7024,map' call function,"['Simple Assignment', 'Simple Atributte', 'Simple For Loop', 'Simple List']","[1.0, 1.0, 1.0, 2.0]"
7261,Import're' module,"['Function with Simple argument', 'Generator Expression', 'Return', 'Simple Assignment', 'Simple If statements']","[1.0, 1.0, 1.0, 1.0, 5.0]"
8337,Simple Dictionary Comprehension,"['Return', 'Simple Assignment', 'Simple Atributte', 'Simple Dictionary', 'Simple For Loop']","[1.0, 1.0, 1.0, 2.0, 2.0]"
8198,Super Function,['Simple Atributte'],[2.0]
8199,Super Function,['Simple Atributte'],[2.0]
5710,Import're' module,[nan],[nan]
6295,Import'importlib' module,"['Exception --> try/except', 'For Loop with 1 Tuples to iterate', 'Function', ""Import with 'as' extension"", 'Return', 'Simple Assignment', 'Simple If statements', 'Simple Tuple', ""pass' statement""]","[1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 3.0, 3.0, 3.0]"
5465,Generator Function (yield),"['Return', 'Simple Assignment', 'Simple Atributte', 'Simple For Loop', 'Simple List']","[1.0, 1.0, 1.0, 1.0, 2.0]"
5466,Generator Function (yield),"['Return', 'Simple Assignment', 'Simple Atributte', 'Simple For Loop', 'Simple List']","[1.0, 1.0, 1.0, 1.0, 2.0]"
5467,Generator Function (yield),"['Return', 'Simple Assignment', 'Simple Atributte', 'Simple For Loop', 'Simple List', 'Simple Tuple']","[1.0, 1.0, 1.0, 1.0, 1.0, 2.0]"
5264,Simple List Comprehension,"['Simple Assignment', 'Simple Atributte', 'Simple For Loop', 'Simple List']","[1.0, 1.0, 1.0, 2.0]"
5123,Super Function,"['Return', 'Simple Atributte']","[1.0, 2.0]"
5124,Super Function,"['Return', 'Simple Atributte']","[1.0, 2.0]"
5125,Super Function,"['Return', 'Simple Atributte']","[1.0, 2.0]"
7960,Super Function,['Simple Atributte'],[2.0]
6259,Simple Dictionary Comprehension,"['Return', 'Simple Assignment', 'Simple Dictionary', 'Simple For Loop', 'Simple List']","[1.0, 1.0, 1.0, 1.0, 2.0]"
