,Class,Replaced Element,Replaced Level,Same Result/ Can Replaced,
7024,map' call function,Simple List,1,TRUE,
7024,map' call function,Simple Atributte,2,TRUE,
7024,map' call function,Simple Assignment,1,TRUE,
7024,map' call function,Simple For Loop,1,TRUE,
7261,Import're' module,Generator Expression,5,FALSE,
7261,Import're' module,Simple Assignment,1,FALSE,
7261,Import're' module,Simple If statements,1,FALSE,
7261,Import're' module,Function with Simple argument,1,FALSE,
7261,Import're' module,Return,1,FALSE,
8337,Simple Dictionary Comprehension,Simple Dictionary,2,TRUE,
8337,Simple Dictionary Comprehension,Simple Atributte,2,TRUE,
8337,Simple Dictionary Comprehension,Simple Assignment,1,TRUE,
8337,Simple Dictionary Comprehension,Simple For Loop,1,TRUE,
8337,Simple Dictionary Comprehension,Return,1,TRUE,
8198,Super Function,Simple Atributte,2,TRUE,less flexible and can lead issue
8199,Super Function,Simple Atributte,2,TRUE,less flexible and can lead issue
5710,Import're' module,,,FALSE,
6295,Import'importlib' module,Simple Tuple,1,FALSE,
6295,Import'importlib' module,Simple Assignment,1,FALSE,
6295,Import'importlib' module,pass' statement,3,FALSE,
6295,Import'importlib' module,Import with 'as' extension,3,FALSE,
6295,Import'importlib' module,Simple If statements,1,FALSE,
6295,Import'importlib' module,For Loop with 1 Tuples to iterate,2,FALSE,
6295,Import'importlib' module,Exception --> try/except,3,FALSE,
6295,Import'importlib' module,Function,1,FALSE,
6295,Import'importlib' module,Return,1,FALSE,
5465,Generator Function (yield),Simple List,1,FALSE,
5465,Generator Function (yield),Simple Atributte,2,FALSE,
5465,Generator Function (yield),Simple Assignment,1,FALSE,
5465,Generator Function (yield),Simple For Loop,1,FALSE,
5465,Generator Function (yield),Return,1,FALSE,
5466,Generator Function (yield),Simple List,1,FALSE,
5466,Generator Function (yield),Simple Atributte,2,FALSE,
5466,Generator Function (yield),Simple Assignment,1,FALSE,
5466,Generator Function (yield),Simple For Loop,1,FALSE,
5466,Generator Function (yield),Return,1,FALSE,
5467,Generator Function (yield),Simple List,1,FALSE,
5467,Generator Function (yield),Simple Tuple,1,FALSE,
5467,Generator Function (yield),Simple Atributte,2,FALSE,
5467,Generator Function (yield),Simple Assignment,1,FALSE,
5467,Generator Function (yield),Simple For Loop,1,FALSE,
5467,Generator Function (yield),Return,1,FALSE,
5264,Simple List Comprehension,Simple List,1,TRUE,
5264,Simple List Comprehension,Simple Atributte,2,TRUE,
5264,Simple List Comprehension,Simple Assignment,1,TRUE,
5264,Simple List Comprehension,Simple For Loop,1,TRUE,
5123,Super Function,Simple Atributte,2,TRUE,less flexible and can lead issue
5123,Super Function,Return,1,TRUE,
5124,Super Function,Simple Atributte,2,TRUE,less flexible and can lead issue
5124,Super Function,Return,1,TRUE,
5125,Super Function,Simple Atributte,2,TRUE,less flexible and can lead issue
5125,Super Function,Return,1,TRUE,
7960,Super Function,Simple Atributte,2,TRUE,less flexible and can lead issue
6259,Simple Dictionary Comprehension,Simple List,1,TRUE,
6259,Simple Dictionary Comprehension,Simple Dictionary,2,TRUE,
6259,Simple Dictionary Comprehension,Simple Assignment,1,TRUE,
6259,Simple Dictionary Comprehension,Simple For Loop,1,TRUE,
6259,Simple Dictionary Comprehension,Return,1,TRUE,
6606,Generator Expression,Simple List,1,TRUE,
6606,Generator Expression,Simple Atributte,2,TRUE,
6606,Generator Expression,Simple Assignment,1,TRUE,
6606,Generator Expression,Simple If statements,1,TRUE,
6606,Generator Expression,Simple For Loop,1,TRUE,
6996,Generator Function (yield),Simple For Loop,1,FALSE,
6996,Generator Function (yield),Generator Function (yield),5,FALSE,
6997,Generator Function (yield),Simple For Loop,1,FALSE,
6997,Generator Function (yield),Generator Function (yield),5,FALSE,
6607,Simple Dictionary Comprehension,Simple Dictionary,2,TRUE,
6607,Simple Dictionary Comprehension,Simple Atributte,2,TRUE,
6607,Simple Dictionary Comprehension,Simple Assignment,1,TRUE,
6607,Simple Dictionary Comprehension,Simple For Loop,1,TRUE,
6607,Simple Dictionary Comprehension,Return,1,TRUE,
6250,Generator Function (yield),Return,1,FALSE,
6251,Generator Function (yield),Return,1,FALSE,
6021,List Comprehension with 1If statements,Simple List,1,TRUE,
6021,List Comprehension with 1If statements,Simple Tuple,1,TRUE,
6021,List Comprehension with 1If statements,Simple Atributte,2,TRUE,
6021,List Comprehension with 1If statements,Simple Assignment,1,TRUE,
6021,List Comprehension with 1If statements,Simple If statements,1,TRUE,
6021,List Comprehension with 1If statements,For Loop with Tuple as name,2,TRUE,
6022,List Comprehension with 1If statements,Simple List,1,TRUE,
6022,List Comprehension with 1If statements,Simple Atributte,2,TRUE,
6022,List Comprehension with 1If statements,Simple Assignment,1,TRUE,
6022,List Comprehension with 1If statements,Simple If statements,1,TRUE,
6022,List Comprehension with 1If statements,Simple For Loop,1,TRUE,
6024,Simple Dictionary Comprehension,Simple Dictionary,2,TRUE,
6024,Simple Dictionary Comprehension,Simple Atributte,2,TRUE,
6024,Simple Dictionary Comprehension,Simple Assignment,1,TRUE,
6024,Simple Dictionary Comprehension,Simple For Loop,1,TRUE,
6023,Simple List Comprehension,Simple List,1,TRUE,
6023,Simple List Comprehension,Simple Atributte,2,TRUE,
6023,Simple List Comprehension,Simple Assignment,1,TRUE,
6023,Simple List Comprehension,Simple For Loop,1,TRUE,
7171,Generator Expression,Simple List,1,TRUE,
7171,Generator Expression,Simple Atributte,2,TRUE,
7171,Generator Expression,Simple Assignment,1,TRUE,
7171,Generator Expression,Simple For Loop,1,TRUE,
