Class,Replaced Element,Replaced Level,Same Result/ Can Replaced,Note
map' call function,Simple List,1,TRUE,
map' call function,Simple Atributte,2,TRUE,
map' call function,Simple Assignment,1,TRUE,
map' call function,Simple For Loop,1,TRUE,
Import're' module,Generator Expression,5,FALSE,
Import're' module,Simple Assignment,1,FALSE,
Import're' module,Simple If statements,1,FALSE,
Import're' module,Function with Simple argument,1,FALSE,
Import're' module,Return,1,FALSE,
Simple Dictionary Comprehension,Simple Dictionary,2,TRUE,
Simple Dictionary Comprehension,Simple Atributte,2,TRUE,
Simple Dictionary Comprehension,Simple Assignment,1,TRUE,
Simple Dictionary Comprehension,Simple For Loop,1,TRUE,
Simple Dictionary Comprehension,Return,1,TRUE,
Super Function,Simple Atributte,2,TRUE,less flexible and can lead issue
Super Function,Simple Atributte,2,TRUE,less flexible and can lead issue
Import're' module,,,FALSE,
Import'importlib' module,Simple Tuple,1,FALSE,
Import'importlib' module,Simple Assignment,1,FALSE,
Import'importlib' module,pass' statement,3,FALSE,
Import'importlib' module,Import with 'as' extension,3,FALSE,
Import'importlib' module,Simple If statements,1,FALSE,
Import'importlib' module,For Loop with 1 Tuples to iterate,2,FALSE,
Import'importlib' module,Exception --> try/except,3,FALSE,
Import'importlib' module,Function,1,FALSE,
Import'importlib' module,Return,1,FALSE,
Generator Function (yield),Simple List,1,FALSE,
Generator Function (yield),Simple Atributte,2,FALSE,
Generator Function (yield),Simple Assignment,1,FALSE,
Generator Function (yield),Simple For Loop,1,FALSE,
Generator Function (yield),Return,1,FALSE,
Generator Function (yield),Simple List,1,FALSE,
Generator Function (yield),Simple Atributte,2,FALSE,
Generator Function (yield),Simple Assignment,1,FALSE,
Generator Function (yield),Simple For Loop,1,FALSE,
Generator Function (yield),Return,1,FALSE,
Generator Function (yield),Simple List,1,FALSE,
Generator Function (yield),Simple Tuple,1,FALSE,
Generator Function (yield),Simple Atributte,2,FALSE,
Generator Function (yield),Simple Assignment,1,FALSE,
Generator Function (yield),Simple For Loop,1,FALSE,
Generator Function (yield),Return,1,FALSE,
Simple List Comprehension,Simple List,1,TRUE,
Simple List Comprehension,Simple Atributte,2,TRUE,
Simple List Comprehension,Simple Assignment,1,TRUE,
Simple List Comprehension,Simple For Loop,1,TRUE,
Super Function,Simple Atributte,2,TRUE,less flexible and can lead issue
Super Function,Return,1,TRUE,less flexible and can lead issue
Super Function,Simple Atributte,2,TRUE,less flexible and can lead issue
Super Function,Return,1,TRUE,less flexible and can lead issue
Super Function,Simple Atributte,2,TRUE,less flexible and can lead issue
Super Function,Return,1,TRUE,less flexible and can lead issue
Super Function,Simple Atributte,2,TRUE,less flexible and can lead issue
Simple Dictionary Comprehension,Simple List,1,TRUE,
Simple Dictionary Comprehension,Simple Dictionary,2,TRUE,
Simple Dictionary Comprehension,Simple Assignment,1,TRUE,
