Repository,File Name,Class,Start Line,End Line,Displacement,Level
tests,test_utils.py,Simple List,71,71,38,A1
tests,test_utils.py,Simple List,84,84,38,A1
tests,test_utils.py,Simple List,127,127,14,A1
tests,test_utils.py,Simple List,844,844,30,A1
tests,test_utils.py,Simple List,196,196,41,A1
tests,test_utils.py,Simple List,373,373,54,A1
tests,test_utils.py,1 Dictionary List,650,650,12,B1
tests,test_utils.py,1 Dictionary List,652,652,35,B1
tests,test_utils.py,1 Dictionary List,653,653,36,B1
tests,test_utils.py,2 Dictionary List,656,659,12,B1
tests,test_utils.py,Simple List,661,661,13,A1
tests,test_utils.py,Simple List,159,159,13,A1
tests,test_utils.py,Simple List,159,159,31,A1
tests,test_utils.py,Simple List,160,160,32,A1
tests,test_utils.py,Simple List,161,161,29,A1
tests,test_utils.py,Simple List,854,854,23,A1
tests,test_utils.py,Simple List,888,888,23,A1
tests,test_utils.py,Simple List,948,948,23,A1
tests,test_utils.py,Simple List,856,856,23,A1
tests,test_utils.py,Simple List,890,890,23,A1
tests,test_utils.py,Simple List,950,952,23,A1
tests,test_utils.py,49 Nested Tuple,418,438,4,A2
tests,test_utils.py,4 Nested Tuple,446,457,4,A2
tests,test_utils.py,4 Nested Tuple,466,477,4,A2
tests,test_utils.py,9 Nested Tuple,485,489,4,A2
tests,test_utils.py,225 Nested Tuple,512,529,4,A2
tests,test_utils.py,4 Nested Tuple,538,541,4,A2
tests,test_utils.py,81 Nested Tuple,549,605,4,A2
tests,test_utils.py,9 Nested Tuple,613,620,4,A2
tests,test_utils.py,36 Nested Tuple,628,635,4,A2
tests,test_utils.py,25 Nested Tuple,647,662,4,A2
tests,test_utils.py,25 Nested Tuple,670,679,4,A2
tests,test_utils.py,9 Nested Tuple,687,691,4,A2
tests,test_utils.py,36 Nested Tuple,699,706,4,A2
tests,test_utils.py,100 Nested Tuple,714,725,4,A2
tests,test_utils.py,64 Nested Tuple,744,753,4,A2
tests,test_utils.py,Simple Tuple,766,769,4,A1
tests,test_utils.py,9 Nested Tuple,783,787,4,A2
tests,test_utils.py,64 Nested Tuple,795,804,4,A2
tests,test_utils.py,100 Nested Tuple,818,829,4,A2
tests,test_utils.py,16 Nested Tuple,903,908,4,A2
tests,test_utils.py,6 Nested Tuple,52,58,8,A2
tests,test_utils.py,4 Nested Tuple,102,105,8,A2
tests,test_utils.py,16 Nested Tuple,158,163,8,A2
tests,test_utils.py,25 Nested Tuple,176,182,8,A2
tests,test_utils.py,Simple Tuple,204,210,8,A1
tests,test_utils.py,Simple Tuple,217,221,8,A1
tests,test_utils.py,Simple Tuple,228,232,8,A1
tests,test_utils.py,Simple Tuple,240,246,8,A1
tests,test_utils.py,Simple Tuple,260,260,38,A1
tests,test_utils.py,Simple Tuple,271,277,8,A1
