Repository,File Name,Class,Start Line,End Line,Displacement,Level
testserver,server.py,Simple List,43,43,31,A1
testserver,server.py,Simple List,12,12,37,A1
testserver,server.py,Simple List,12,12,45,A1
testserver,server.py,Simple List,12,12,49,A1
testserver,server.py,Simple List,110,110,16,A1
testserver,server.py,Simple List,110,110,36,A1
testserver,server.py,Simple List,110,110,40,A1
testserver,server.py,Simple Tuple,123,123,15,A1
testserver,server.py,Simple Tuple,86,86,18,A1
testserver,server.py,Simple Tuple,109,109,12,A1
testserver,server.py,Simple Tuple,176,176,18,A1
testserver,server.py,'range' call function,97,97,17,A2
testserver,server.py,Simple Atributte,25,25,13,A2
testserver,server.py,Simple Atributte,42,42,8,A2
testserver,server.py,Simple Atributte,43,43,8,A2
testserver,server.py,Simple Atributte,45,45,8,A2
testserver,server.py,Simple Atributte,46,46,8,A2
testserver,server.py,Simple Atributte,47,47,8,A2
testserver,server.py,Simple Atributte,49,49,8,A2
testserver,server.py,Simple Atributte,50,50,8,A2
testserver,server.py,Simple Atributte,51,51,8,A2
testserver,server.py,Simple Atributte,161,161,8,A2
testserver,server.py,Simple Atributte,162,162,8,A2
testserver,server.py,Simple Atributte,163,163,8,A2
testserver,server.py,Simple Atributte,165,165,8,A2
testserver,server.py,Simple Atributte,166,166,8,A2
testserver,server.py,Simple Atributte,16,16,22,A2
testserver,server.py,Simple Atributte,39,39,8,A2
testserver,server.py,Simple Atributte,50,50,27,A2
testserver,server.py,Simple Atributte,51,51,26,A2
testserver,server.py,Simple Atributte,65,65,15,A2
testserver,server.py,Simple Atributte,71,71,12,A2
testserver,server.py,Simple Atributte,73,73,12,A2
testserver,server.py,Simple Atributte,77,77,15,A2
testserver,server.py,Simple Atributte,85,85,15,A2
testserver,server.py,Simple Atributte,86,86,8,A2
testserver,server.py,Simple Atributte,87,87,8,A2
testserver,server.py,Simple Atributte,97,97,23,A2
testserver,server.py,Simple Atributte,120,120,8,A2
testserver,server.py,Simple Atributte,123,123,15,A2
testserver,server.py,Simple Atributte,123,123,26,A2
testserver,server.py,Simple Atributte,129,129,15,A2
testserver,server.py,Simple Atributte,135,135,8,A2
testserver,server.py,Simple Atributte,136,136,8,A2
testserver,server.py,Simple Atributte,154,154,8,A2
testserver,server.py,Simple Atributte,163,163,27,A2
testserver,server.py,Simple Atributte,163,163,42,A2
testserver,server.py,Simple Atributte,164,164,8,A2
testserver,server.py,Simple Atributte,164,164,41,A2
testserver,server.py,Simple Atributte,170,170,12,A2
testserver,server.py,Simple Atributte,170,170,43,A2
testserver,server.py,Simple Atributte,174,174,15,A2
testserver,server.py,Simple Atributte,175,175,15,A2
testserver,server.py,Simple Atributte,176,176,8,A2
testserver,server.py,Simple Atributte,177,177,8,A2
testserver,server.py,Simple Atributte,12,12,23,A2
testserver,server.py,Simple Atributte,39,39,8,A2
testserver,server.py,Simple Atributte,57,57,12,A2
testserver,server.py,Simple Atributte,71,71,31,A2
testserver,server.py,Simple Atributte,74,74,12,A2
testserver,server.py,Simple Atributte,75,75,12,A2
testserver,server.py,Simple Atributte,80,80,12,A2
testserver,server.py,Simple Atributte,81,81,12,A2
testserver,server.py,Simple Atributte,82,82,12,A2
testserver,server.py,Simple Atributte,86,86,19,A2
testserver,server.py,Simple Atributte,86,86,30,A2
testserver,server.py,Simple Atributte,92,92,12,A2
testserver,server.py,Simple Atributte,98,98,19,A2
testserver,server.py,Simple Atributte,102,102,29,A2
testserver,server.py,Simple Atributte,104,104,12,A2
testserver,server.py,Simple Atributte,105,105,12,A2
testserver,server.py,Simple Atributte,109,109,26,A2
testserver,server.py,Simple Atributte,110,110,44,A2
testserver,server.py,Simple Atributte,121,121,15,A2
testserver,server.py,Simple Atributte,121,121,37,A2
testserver,server.py,Simple Atributte,127,127,12,A2
testserver,server.py,Simple Atributte,127,127,33,A2
testserver,server.py,Simple Atributte,164,164,8,A2
